Tempo Switch RegrasInstaladas RegrasAceitas VezesBloqueado BytesEnviados
795 SW 122 4406 0 2061732960
799 HW 148 4673 0 30046311288
799 SW 131 4428 0 2061732960
803 HW 141 4673 0 30215074680
804 SW 152 4454 0 2064939912
807 HW 131 4733 0 30379974912
808 SW 129 4472 0 2064939912
812 HW 125 4733 0 30546861912
812 SW 121 4491 0 2064939912
816 HW 119 4733 0 30715552728
816 SW 142 4519 0 2110727808
820 HW 143 4814 0 30871577520
820 SW 131 4544 0 2110727808
824 HW 134 4814 0 31017875616
824 SW 157 4584 0 2110727808
828 HW 133 4814 0 31178315448
828 SW 175 4608 0 2116747080
832 HW 132 4881 0 31314788568
832 SW 158 4631 0 2116747080
836 HW 124 4881 0 31438817928
836 SW 152 4657 0 2116747080
840 HW 117 4881 0 31559909472
840 SW 159 4671 0 2151589608
844 HW 145 4964 0 31677104592
844 SW 146 4695 0 2151589608
848 HW 142 4964 0 31810615704
848 SW 161 4729 0 2151589608
852 HW 134 4964 0 31949687952
853 SW 176 4750 0 2158653672
856 HW 137 5031 0 32097857904
857 SW 160 4774 0 2158653672
860 HW 133 5031 0 32256008568
861 SW 158 4806 0 2158653672
864 HW 124 5031 0 32420149776
865 SW 174 4826 0 2170135800
869 HW 145 5107 0 32586596784
869 SW 161 4858 0 2170135800
873 HW 140 5107 0 32747760864
873 SW 168 4890 0 2170135800
877 HW 133 5107 0 32913950832
877 SW 180 4912 0 2179505664
881 HW 135 5176 0 33085766952
881 SW 161 4940 0 2179505664
885 HW 126 5176 0 33258491784
885 SW 162 4957 0 2179505664
889 HW 119 5176 0 33442267824
889 SW 166 4970 0 2218540968
893 HW 182 5257 0 33616240056
893 SW 130 4984 0 2218540968
897 HW 137 5257 0 33801933312
897 SW 129 4998 0 2218540968
901 HW 128 5257 0 33985225512
902 SW 139 5015 0 2280188232
905 HW 176 5331 0 34150255776
906 SW 103 5027 0 2280188232
909 HW 123 5331 0 34309170000
910 SW 80 5033 0 2280188232
913 HW 119 5331 0 34472806200
914 SW 76 5040 0 2911900320
917 HW 173 5405 0 34572443976
918 SW 54 5050 0 2911900320
921 HW 120 5405 0 34700138424
922 SW 53 5058 0 2911900320
925 HW 117 5405 0 34851066264
926 SW 58 5067 0 3285120888
929 HW 138 5457 0 34966660176
930 SW 36 5072 0 3285120888
934 HW 86 5457 0 35080495632
934 SW 20 5081 0 3285120888
938 HW 79 5457 0 35208016200
938 SW 22 5085 0 3285148104
942 HW 92 5475 0 35339047632
942 SW 5 5088 0 3285148104
946 HW 64 5475 0 35474860008
946 SW 11 5094 0 3285148104
950 HW 55 5475 0 35607775392
950 SW 17 5100 0 3285167760
954 HW 64 5488 0 35718158952
954 SW 14 5110 0 3285167760
958 HW 43 5488 0 35822420424
958 SW 16 5112 0 3285167760
962 HW 38 5488 0 35915538456
962 SW 16 5114 0 3285185904
966 HW 45 5500 0 35964543888
966 SW 5 5115 0 3285185904
970 HW 24 5500 0 36001545552
970 SW 6 5118 0 3285185904
974 HW 22 5500 0 36027943560
974 SW 9 5121 0 3285193464
978 HW 25 5505 0 36047915568
978 SW 5 5122 0 3285193464
982 HW 12 5505 0 36065776824
982 SW 7 5124 0 3285193464
