    Time      SRC      DST   Cookie                 SRCIP          DSTIP       SRCPort  DSTPort  Protocol  NumSwitches Active   InCache  Blocked  Direction  TimeCreated  TimeFinished      ExpBytes       Rate
  10.000       SW       HW 0x03a0392711753111       10.0.0.58       10.0.0.57    10001    30001    17        1           true    false     false    1                2.941         0.000         0        1347033
  10.000       SW       HW 0x04a0492713753311       10.0.0.74       10.0.0.73    10003    30003    17        1           true    false     false    1                7.991         0.000         0        1334236
  10.000       SW       HW 0x0380372714753411       10.0.0.56       10.0.0.55    10004    30004    17        1           true    false     false    1                9.672         0.000         0        1332508
  10.000       SW       HW 0x08e08d2711753111       10.0.0.142       10.0.0.141    10001    30001    17        1           true    false     false    2                9.263         0.000         0        1317141
  10.000       SW       HW 0x0980972713753311       10.0.0.152       10.0.0.151    10003    30003    17        1           true    false     false    2                4.396         0.000         0        1315722
  10.000       SW       HW 0x09008f2712753211       10.0.0.144       10.0.0.143    10002    30002    17        1           true    false     false    2                3.849         0.000         0        1309258
  10.000       SW       HW 0x03a0392714753411       10.0.0.58       10.0.0.57    10004    30004    17        1           true    false     false    1                8.561         0.000         0        1306559
  10.000       SW       HW 0x07006f2711753111       10.0.0.112       10.0.0.111    10001    30001    17        1           true    false     false    2                2.629         0.000         0        1258633
  10.000       SW       HW 0x0960952711753111       10.0.0.150       10.0.0.149    10001    30001    17        1           true    false     false    2                6.601         0.000         0        1234557
  10.000       SW       HW 0x0840832711753111       10.0.0.132       10.0.0.131    10001    30001    17        1           true    false     false    2                5.038         0.000         0        1231817
  10.000       SW       HW 0x0940932710753011       10.0.0.148       10.0.0.147    10000    30000    17        1           true    false     false    2                1.243         0.000         0        1227128
  10.000       SW       HW 0x0360352710753011       10.0.0.54       10.0.0.53    10000    30000    17        1           true    false     false    1                1.442         0.000         0        1225898
  10.000       SW       HW 0x03c03b2711753111       10.0.0.60       10.0.0.59    10001    30001    17        1           true    false     false    1                6.105         0.000         0        1223789
  10.000       SW       HW 0x0780772710753011       10.0.0.120       10.0.0.119    10000    30000    17        1           true    false     false    2                6.996         0.000         0        1207104
  10.000       SW       HW 0x0860852710753011       10.0.0.134       10.0.0.133    10000    30000    17        1           true    false     false    2                6.499         0.000         0        1205374
  10.000       SW       HW 0x08a0892713753311       10.0.0.138       10.0.0.137    10003    30003    17        1           true    false     false    2                6.960         0.000         0        1196815
  10.000       SW       HW 0x0980972716753611       10.0.0.152       10.0.0.151    10006    30006    17        1           true    false     false    2                7.077         0.000         0        1195131
  10.000       SW       HW 0x0380372710753011       10.0.0.56       10.0.0.55    10000    30000    17        1           true    false     false    1                1.873         0.000         0        1173014
  10.000       SW       HW 0x06005f2715753511       10.0.0.96       10.0.0.95    10005    30005    17        1           true    false     false    2                4.324         0.000         0        1153923
  10.000       SW       HW 0x0720712712753211       10.0.0.114       10.0.0.113    10002    30002    17        1           true    false     false    2                6.657         0.000         0        1146340
  10.000       SW       HW 0x08c08b2713753311       10.0.0.140       10.0.0.139    10003    30003    17        1           true    false     false    2                3.791         0.000         0        1142715
  10.000       SW       HW 0x01a0192710753011       10.0.0.26       10.0.0.25    10000    30000    17        1           true    false     false    1                1.725         0.000         0        1132912
  10.000       SW       HW 0x08c08b2711753111       10.0.0.140       10.0.0.139    10001    30001    17        1           true    false     false    2                2.623         0.000         0        1108006
  10.000       SW       HW 0x0420412712753211       10.0.0.66       10.0.0.65    10002    30002    17        1           true    false     false    1                5.683         0.000         0        1104078
  10.000       SW       HW 0x0960952714753411       10.0.0.150       10.0.0.149    10004    30004    17        1           true    false     false    2                8.260         0.000         0        1101103
  10.000       SW       HW 0x01000f2713753311       10.0.0.16       10.0.0.15    10003    30003    17        1           true    false     false    1                5.754         0.000         0        1099610
  10.000       SW       HW 0x01c01b2712753211       10.0.0.28       10.0.0.27    10002    30002    17        1           true    false     false    1                6.124         0.000         0        1098404
  10.000       SW       HW 0x08a0892710753011       10.0.0.138       10.0.0.137    10000    30000    17        1           true    false     false    2                1.875         0.000         0        1089645
  10.000       SW       HW 0x00e00d2711753111       10.0.0.14       10.0.0.13    10001    30001    17        1           true    false     false    1                6.429         0.000         0        1080146
  10.000       SW       HW 0x0380372711753111       10.0.0.56       10.0.0.55    10001    30001    17        1           true    false     false    1                2.088         0.000         0        1074543
  10.000       SW       HW 0x01000f2711753111       10.0.0.16       10.0.0.15    10001    30001    17        1           true    false     false    1                5.269         0.000         0        1068908
  10.000       SW       HW 0x01e01d2713753311       10.0.0.30       10.0.0.29    10003    30003    17        1           true    false     false    1                7.013         0.000         0        1067806
  10.000       SW       HW 0x05004f2710753011       10.0.0.80       10.0.0.79    10000    30000    17        1           true    false     false    2                3.033         0.000         0        1061905
